영화명,영문명,감독명,개봉일,키워드,줄거리,수상내역
영웅 - 샐러멘더의 비밀,,알렉산드르 야킴축,2013-03-14,"외딴섬,바이러스,특수부대,전쟁,구출작전",외딴 섬의 연구소에서 탄생한 공포의 전멸 바이러스! 샐러멘더의 비밀을 찾기 위해 섬에 잠입하는 러시아와 한국의 특수부대 팀! 미국의 거대 제약회사의 음모와 다국적 용병들의 만행! 그리하여 인류의 내일을 걸고 사나이들의 전쟁이 시작된다!동남아시아의 비밀 연구시설에서 러시아 인 과학자의 소식이 두절되자 구출을 위해 페디아를 비롯한 러시아 특수부대 정예 팀과 한국 정보부 요원이 론마이 섬으로 날아간다. 그곳에서 그들을 기다리는 것은 거대 제약회사 사장 헌트와 미국 용병 릭이 만들어놓은 가공할만한 함정이었다. 그것은 세포의 재생기능을 원활히 하는 불로장생의 신약으로 그 연구 과정에서 인간을 미치게 만드는 ‘자살 바이러스’가 만들어진 것이었다. 인류가 멸망할지도 모르는 위기를 덮어버리고 신약의 이권을 독점하려는 헌트의 욕망... 과연 그 음모를 저지할 수 있을 것인가? 정글 깊은 곳에서 사나이들의 뜨거운 전투가 시작된다!,
라스트 탱고,Our Last Tango,게르만 크랄,2015-12-31,,,
배꼽과 무릎사이,(Bae-kkop-gwa-mu-reup-sa-i),이숭환,2014-05-22,"조선시대,내기,유부녀,정절,사랑","조선시대, 사랑을 믿지 않는 양반 3인의 위험한 내기! 조선남녀 애정지사, 풍기문란 연애담이 시작된다!절친한 벗 장원과 최민, 그리고 최민의 부인 은혜는 지루한 삶에서 벗어나기 위해 위험한 내기를 시작한다. 목숨을 건 내기, 동짓달이 뜨기 전 정절녀로 소문이 자자한 유부인의 배꼽과 무릎 사이를 탐하라! 하지만 내기는 예상과는 전혀 다른 방향으로 흘러가고, 사랑을 장난처럼 내건 자들이 진짜 사랑을 알아가게 되는데…",
찰스 디킨스의 비밀 서재,The Man Who Invented Christmas,바랫 낼러리,2018-01-11,,"천재 소설가 찰스 디킨스, 그의 비밀 서재가 열린다!세 권의 책이 연속으로 실패하고 슬럼프에 빠진 찰스 디킨스는  무턱대고 크리스마스 전까지 새로운 소설을 발표하겠다고 선언한다.    그에게 남은 시간은 고작 6주.  불현듯 ‘스크루지’라는 고약한 구두쇠 캐릭터를 떠올린  그의 눈 앞에 상상 속의 ‘스크루지’ 영감이 실제로 나타난다.    하지만 사사건건 방해를 놓는 ‘스크루지’ 때문에  소설은 마무리가 되지 않고 꼬여만 가는데…    과연 그는 6주 만에 새로운 소설을 완성시킬 수 있을까?",
"가자, 장미여관으로","Let's go to rose motel (Gaja, Jangmiyeogwaneuro)",신정균,2013-08-14,"여관,성상납,훔쳐보기,섹스,시원작","은밀한 비밀을 거래하는 그 곳...장미여관사귄 지 6개월 된 여자친구 민애와 아직까지 육체적인 관계를 가져본 적 없는 성수는 그녀와의 만남이 늘 흥분된다. 그러던 어느 날, 민애를 설득해 장미여관으로 끌어들이는데 성공한 성수. 샤워를 하기 위해 들어간 욕실에서 작은 구멍을 발견하게 되고 그 구멍을 통해 옆방을 우연히 엿보게 되고, 거기서 남녀의 성행위 장면을 목격하게 된다. 호기심이 발동한 성수는 더욱 숨죽여 그 장면을 엿보던 중 여자 연예인 사라가 거물급 정치인에게 성 상납을 하는 현장임을 알고 충격을 받게 되는데...",
햄스테드,Hampstead,조엘 홉킨스,2018-07-05,"중년남자,중년여자,중년의사랑,중년로맨스",숲 속의 집을 지키고자 하는 남자와 믿음을 지키는 여자의 사랑을 그린 영화,
연애의 기술,Mango tree ( Yoen-a-eui gi-sul ),이수성,2013-10-30,"로맨틱코미디,유혹,점괘,친구,휴양지,당첨여행,세부,필리핀","한 남자에게 꽂힌 베프 수진과 지영! 그래! 뽕 빼고 한판 붙어보자!! 오매불망 운명남을 기다리는 여자 수진과 그때 그때 만나는 사람이 운명남이라고 정의하는 지영은 둘도 없는 친구 사이! 어느 날 어딘가로 떠나서 '운명의 남자'를 만나게 될 것이라는 타로 카드 점괘를 접하고 거짓말처럼 환상의 휴양지 필리핀 세부의 여행권 당첨이라는 행운을 얻게 된다그리고 그곳에서 성격, 재력, 외모를 모두 갖춘 이 시대 흔치 않은 훈남 태훈과 우연한 인연으로 엮이고 지영과 수진은 서로가 태훈을 '운명의 남자'라고 외친다섹시댄스. 뽕브라, 애교와 내숭까지,, 잠시 우정은 리셋시킨 지영과 수진의 작업배틀~ 과연 태훈의 마음은 어디로 기울 것인가?",
아키라,Akira,오토모 가츠히로,2017-08-31,"풀 애니메이션, 폭력, 초능력, 미래, 전쟁, 디스토피아","3차 대전 후에 다시 재건되어 올림픽을 맞이하는 일본의 수도 네오도쿄는 건물에서부터 물, 바람까지 인공적으로 이루어졌다. 이와 같은 과학의 발달 뒤에는 전쟁으로 인해 인간성을 상실한 냉정한 인간들이 살고 있었다. 가정과 학교란 존재는 이미 붕괴되었고, 소년들은 흉폭해서 거리를 싸움터로 만들며 파괴를 일삼았다. 이렇게 썩어빠져 가는 사회를 본 소년들은 이같은 사회를 모두 없애버리고 싶다는 충동을 갖게 되고, 그와 같은 역할을 해내는 것이 바로 데츠오라는 소년. 친구들과 오토바이 경주를 하던 폭주족 테츠오는 군의 연구소로부터 빠져나온 초능력개발 실험체와 충돌한 후, 군연구소로 옮겨진다. 인간의 초능력을 연구하는 연구소에서 그는 충돌의 영향으로 자신의 내부에 잠재되어 있던 강력한 힘을 알게 된다. 지금까지 심리적 억압과 사회적 소외속에서 항상 현대시간적 이미지에 외로움을 느껴왔던 테츠오는 자신의 잠재된 힘을 스스로 형상화시켜 네오 도쿄를 파괴한다.",
레더페이스,,"알렉상드르 뷔스티요 , 줄리엔 모리",2018-01-25,,[원작호러영화인  텍사스 전기톱 살인사건 의 프리퀄 영화]정신병원에 수감되어 있던 10대의 ‘레더페이스’가 3명의 다른 수감자와 함께  젊은 간호사를 납치하여 병원을 탈출한 후 법집행관을 따돌리기 위해 공포의 추격전을 벌이고  이윽고 그의 정신세계는 파괴되며 ‘레더페이스’라 불리우는 연쇄 살인마 괴물로 서서히 변해간다,
라이크 크레이지,,드레이크 도리머스,2018-05-30,"캠퍼스커플,장거리연애,사랑과이별","사랑하고, 이별하고, 다시 돌아오다영국 여자 '애나'와 미국 남자 '제이콥'은 LA에서 첫눈에 반한다. 서로에 대한 사랑을 쌓아가며 행복한 시간을 보내던 중, 애나의 학생 비자가 만료돼 영국으로 다시 돌아가야 하는 상황이 발생한다. 의도치 않게 장거리 연애를 시작한 둘은 점점 서로가 없는 삶에 익숙해지고 새로운 사람이 눈에 들어온다. 몇 개월 간의 갈등 끝에 애나는 중대한 결심을 하고 제이콥에게 전화를 건다.",선댄스영화제(2011) : 심사위원대상(드라마) - 드레이크 도리머스
몽키킹2: 서유기 여정의 시작,Monkey King the Legend Begins,정 바오루이,2016-05-19,,"불경을 얻기 위해 길을 나선 삼장법사는 천계를 어지럽힌 죄로 500년 동안 오행산에 갇혀 있던 손오공을 만나게 된다. 금고아를 쓴 채 관세음보살의 가르침대로 삼장법사와 함께하게 된 손오공은 위험 상황에 닥칠 때마다 그를 지키려 나서지만 번번히 오해만 불러일으키고, 마지막으로 저팔계와 사오정까지 합류하면서 모두 함께 서역으로 발걸음을 재촉한다.한편, 천 년의 삶을 누리며 악행을 저질러 온 백골정은 영원한 생명을 얻기 위해 호시탐탐 삼장법사의 목숨을 노리게 되는데….전설의 4인방의 운명적인 만남!그들의 파란만장한 서역기행이 시작된다!",
공동정범,The Remnants (Gong-dong-jeong-beom),"김일란, 이혁상",2018-01-25,"용산참사,철거민,용산재개발,국가폭력,트라우마","2015년 10월, 경찰관을 죽였다는 이유로 억울하게 수감되었던 철거민들이 6년 전 용산참사 이후 처음으로 한자리에 모였다. 부당한 재개발 정책에 맞서 함께 망루에 올랐고, 농성 25시간 만에 자행된 경찰특공대의 폭력 진압에 저항했던 그들. 그 과정에서 발생한 원인 모를 화재로 동료들은 죽고, 남은 그들은 범죄자가 되었다. 반가움도 잠시, 오랜만에 만난 ‘동지들’은 서로를 탓하며 잔인한 말들을 쏟아낸다. 그 동안 그들에게 무슨 일이 있었던 걸까.","서울독립영화제(2016) : 독불장군상 - 김일란, 이혁상|서울독립영화제(2016) : 우수작품상 - 김일란, 이혁상|부산영화평론가협회상(2018) : 대상 - 김일란, 이혁상|DMZ국제다큐멘터리영화제(2016) : 관객상 - 김일란, 이혁상|DMZ국제다큐멘터리영화제(2016) : 최우수한국다큐멘터리상 - 김일란, 이혁상|시네마테크KOFA가 주목한 한국영화(2019) : 선정작 - 김일란, 이혁상|무주산골영화제(2017) : 무주관객상 - 김일란, 이혁상|들꽃영화상(2019) : 대상 - 김일란, 이혁상|"
쿵푸 요가,Kung-Fu Yoga,당계례,2017-03-29,"보물찾기,성룡","전설 속 보물을 되찾기 위한 최후의 대결이 시작된다!저명한 고고학 교수 ‘잭’(성룡)은 어느 날, 인도의 아시미타 박사로부터 잃어 버린 고대 보물이 숨겨져 있는 지도에 관한 이야기를 듣게 된다. 조수 ‘소광’(레이)과 함께 최고의 보물 사냥꾼 ‘존스’(리즈팅)를 영입해 비밀의 열쇠인 다이아몬드를 찾아나선 잭. 하지만 보물을 노리던 랜달과 그의 부하들에게 기습을 받게 되면서 원정은 위기를 맞게 되는데",
밤의 이야기,,미셸 오슬로,2012-11-29,,,
파닥파닥,PADAK (Padakpadak),이대희,2012-07-25,"갈등,고등어,물고기,바다,수족관,탈출,횟집,회,넙치,낙오/고립","어느 날 망망대해 출신인 자연산 ‘고등어’가 어촌의 한 횟집 수족관에 들어온다. 그곳은 수족관에서 오래 살아남는 법을 고안해 양식어들의 신망을 받으며 강력한 권력을 갖게 된 전설의 ‘올드넙치’가 지배하는 곳. 고등어는 앞으로 나아가려 해도 더 이상 나아갈 수 없는 보이지 않는 벽에 절망하고, 친구 고등어가 회칼에 무참히 죽는 모습을 목격한 후 필사의 탈출을 결심한다. 또한 양어장 출신 물고기들에게 바다를 알려주며 탈출을 도모해보지만, 유일한 바다출신 ‘올드넙치’가 바다생활에 대해 회의적이고 비판적이어서 고등어는 점점 수족관의 눈엣가시가 되어 간다. 바다출신인 두 물고기의 엇갈리는 주장사이에서 양어장 출신인 다른 물고기들은 갈팡질팡하고, 시간이 흐를수록 ‘고등어’와 ‘올드넙치’의 갈등은 점점 커져만 가는데…",서울국제만화애니메이션페스티벌(2012) : 심사위원 특별상(장편) - 이대희|전주국제영화제(2012) : CGV 무비꼴라쥬상 - 이대희|
밀크,Milk,구스 반 산트,2010-02-25,"게이,선거,실존인물,정치인,호모포비아,동성애자,LGBT,퀴어무비,실화바탕,실화바탕,커밍아웃,인권문제,인권운동가,샌프란시스코,시의원,실화바탕,실화바탕","인종과 성 등에 있어 사회적 다양성이 인정되지 않던 70년대 미국에서 평등과 화합의 가치를 용감하게 외치며 미국 역사 최초로 동성애자로서 시의원에 당선된 정치인 '하비 밀크'의 마지막 8년.인권운동가이자 정치인이었으며 그의 시대로부터 지금까지 수많은 이들에게 희망의 이름이 된, 하비 밀크. 1970년, 40세 생일을 맞이한 뉴욕의 평범한 증권맨 하비 밀크는 스스로에게 솔직하지 못했던 지난 인생을 뒤돌아보며 애인인 스콧과 함께 자유로운 분위기의 샌프란시스코로 이주하기로 결심한다. 그곳에서 작은 카메라 가게를 차린 밀크는 편견 없는 유쾌한 성품으로 많은 이들의 친구가 되고, 동성애자들에 대한 일상적인 편견과 폭력으로 고통받는 이웃들을 보며 게이 인권운동을 시작한다. 인종, 나이, 성에 상관 없이 모두가 평등한 권리와 기회를 누리는 사회를 꿈꾸던 그는 3번의 실패 끝에 샌프란시스코 시의원에 당선되는데...",전미비평가협회상(2009) : 남우주연상 - 숀 펜|뉴욕비평가협회상(2008) : 남우조연상 - 조쉬 브롤린(Josh Brolin)|뉴욕비평가협회상(2008) : 작품상 -|뉴욕비평가협회상(2008) : 남우주연상 - 숀 펜(Sean Penn)|LA비평가협회상(2008) : 남우주연상 - 숀 펜(Sean Penn)|아카데미 시상식(2009) : 남우주연상 - 숀 펜 (Sean Penn)|아카데미 시상식(2009) : 각본상 - 더스틴 랜스 블랙 (Dustin Lance Black)|로저 이버트 Roger Ebert TOP 10(2008) : 12 - 구스 반 산트|미국배우조합상(2009) : 영화부문 남우주연상 - 숀 펜|
오직 사랑뿐,A United Kingdom,엠마 아산테,2018-02-08,"보츠와나,보츠와나 공화국,인종차별,인종화합,실화바탕","베추아날란드의 왕자가 영국 여성과 결혼하면서 정치, 외교적 고난을 그린 영화",|2017 런던비평가협회상 남우주연상
유희왕,,츠지 하츠키,2010-01-28,"만화원작, 마법, 카드게임, 대결, 이집트, 퍼즐","작은 키에 여려 보이는 유희 는 학생이자 듀얼리스트이다. 어느 밤, 유희는 할아버지가 선물해주신 고대 이집트의 공예품 천년퍼즐을 맞추는데 성공하고, 이는 사막아래 깊이 잠들어 있던 고대악마 아누비스를 깨어나게 한다. 유희는 천년퍼즐을 맞추면서 어둠의 유희라는 강한 자아를 갖게 되고, 이로 인해 왕년의 챔피언인 카이바를 물리치고 듀얼 몬스터즈 카드게임 세계 챔피언으로 국제적인 주목을 받기 시작한다. 어둠의 유희가 가지고 있는 이집트 신의 카드로 인해 챔피언의 자리를 빼앗긴 카이바는 유희에 대한 앙심을 품고 듀얼몬스터 카드게임의 창시자인 페가수스를 찾아가 이집트 신의 카드를 이길 수 있는 방법을 알아 내기 위한 대결을 벌인다. 한편, 5,000년 전 어둠의 유희에 의해 패망하여 잠들었다가 다시 깬 고대악마 아누비스는 오래 전 자신의 세계종말계획을 방해한 어둠의 유희에게 복수를 결심하고 이를 위해 승부욕에 눈 먼 카이바를 이용, 유희와 위험한 대결을 하게 만든다. 이런 아누비스의 계략을 눈치채지 못한 카이바는, 페가수스에게서 얻어낸 카드를 가지고 유희에게 정면대결을 신청한다. 카이바의 배틀돔에서 마주 선 어둠의 유희는 본능적으로 무언가 이상한 기운을 눈치채지만 승부에 집착하는 카이바의 강요에 못 이겨 대결에 임하게 된다. 둘의 대결은 파국을 향해 치닫고, 카이바는 마침내 품고 있던 빛의 피라미드 카드를 꺼내 든다. 순간, 어둠의 유희가 가진 이집트 신의 카드는 힘을 잃게 되고, 이를 지켜보던 친구들과 본래의 유희는 고대이집트의 공예품인 천년퍼즐 안으로 빨려 들어가는데.. 한편, 이상한 기운을 느껴 카이바를 찾아 왔다가 이를 본 페가수스는 아누비스와 빛의 피라미드가 가진 비밀을 조금씩 알게 되지만, 이미 유희와 친구들은 천년퍼즐 안의 죽음의 미로에서 길을 잃고 헤매고 있는 상황. 어둠의 유희는 카이바와의 카드대결이 단순한 카드게임이 아닌 실제 생명에너지까지 파멸시키는 죽음의 게임이라는 것을 깨닫게 되고 카이바를 말리려 한다. 마침내 아누비스는 자신의 계획대로 게임이 진행되지 않자 본 모습을 드러내는데. 복수에 불타는 아누비스의 파괴적인 힘에 대항한 유희는 마지막 결전에서 친구들과 전세계를 구할 수 있을 것인가?",부천국제애니메이션페스티벌(2004) : Family Audience Spercial Prize - 츠지 하츠키
주문은 토끼입니까?? ~디어 마이 시스터~,Is the Order a Rabbit?? ~Dear My Sister~,하시모토 히로유키,2018-01-18,,카페 ‘래빗하우스’에서 만난 소녀들이 여름 축제에 참가하게 되는 이야기의 애니메이션 영화,
아인,Ajin: Demi-Human,모토히로 카추유키,2018-02-28,,"[속보] 세 번째 신인류 ‘아인’ 발견, 공식 보고!평범한 의대생 ‘케이’(사토 타케루)는 교통사고 사망 직후 되살아나,  공식 보고된 세 번째 아인으로 정부의 감시를 받는다.    한편, 죽지 않는 아인을 잔혹한 비밀 생체실험에 이용해 온 정부 산하의 연구소가  정체를 알 수 없는 아인, ‘사토’(아야노 고)의 공격을 받고 ‘케이’는 그 틈을 타 자취를 감춘다.    정부와 인간에 대한 끔찍한 복수를 계획한 테러리스트 ‘사토’는 전국의 아인들을 소집하고,  ‘케이’는 이를 막기 위해 끝을 알 수 없는 전쟁을 선포한다.    죽을수록 더욱 강해지는 아인 VS. 아인  절대 죽지 않는 그들의 무한 대결이 펼쳐진다!",
나라타주,Narratage,유키사다 이사오,2018-03-08,,"흔들린다 그 사람이다일생에 단 한번, 모든 게 망가져도 좋을 사랑과 다시 만난 세 남녀의 가슴을 뒤흔드는 열애熱愛 소설",
